Poem Name,Poem Content,jist
The Road Not Taken,"Two roads diverged in a yellow wood,
And sorry I could not travel both
And be one traveler, long I stood
And looked down one as far as I could
To where it bent in the undergrowth;
Then took the other, as just as fair,
And having perhaps the better claim,
Because it was grassy and wanted wear;
Though as for that the passing there
Had worn them really about the same,
And both that morning equally lay
In leaves no step had trodden black.
Oh, I kept the first for another day!
Yet knowing how way leads on to way,
I doubted if I should ever come back.
I shall be telling this with a sigh
Somewhere ages and ages hence:
Two roads diverged in a wood, and I—
I took the one less traveled by,
And that has made all the difference.","Two roads diverged in a yellow wood, and sorry I could not travel both, long I stood. I took the one less traveled by, and that has made all the difference."
Kubla Khan,"Or a Vision in a Dream. A Fragment
In Xanadu did Kubla Khan
A stately pleasure dome decree:
Where Alph, the sacred river, ran
Through caverns measureless to man
    Down to a sunless sea.
So twice five miles of fertile ground
With walls and towers were girdled round:
And there were gardens bright with sinuous rills,
Where blossomed many an incense-bearing tree;
And here were forests ancient as the hills,
Enfolding sunny spots of greenery.
But oh! that deep romantic chasm which slanted
Down the green hill athwart a cedarn cover!
A savage place! as holy and enchanted
As e'er beneath a waning moon was haunted
By woman wailing for her demon lover!
And from this chasm, with ceaseless turmoil seething,
As if this earth in fast thick pants were breathing,
A mighty fountain momently was forced:
Amid whose swift half-intermitted burst
Huge fragments vaulted like rebounding hail,
Or chaffy grain beneath the thresher's flail:
And ’mid these dancing rocks at once and ever
It flung up momently the sacred river.
Five miles meandering with a mazy motion
Through wood and dale the sacred river ran,
Then reached the caverns measureless to man,
And sank in tumult to a lifeless ocean:
And ’mid this tumult Kubla heard from far
Ancestral voices prophesying war!
    The shadow of the dome of pleasure
    Floated midway on the waves;
    Where was heard the mingled measure
    From the fountain and the caves.
It was a miracle of rare device,
A sunny pleasure-dome with caves of ice!
    A damsel with a dulcimer
    In a vision once I saw;
    It was an Abyssinian maid,
    And on her dulcimer she played,
    Singing of Mount Abora.
    Could I revive within me
    Her symphony and song,
    To such a deep delight ’twould win me,
That with music loud and long,
I would build that dome in air,
That sunny dome! those caves of ice!
And all who heard should see them there,
And all should cry, Beware! Beware!
His flashing eyes, his floating hair!
Weave a circle round him thrice,
And close your eyes with holy dread,
For he on honey-dew hath fed,
And drunk the milk of Paradise.","In Xanadu did Kubla Khan decree:Where Alph, the sacred river, ran through caverns measureless to man, down to a sunless sea. The shadow of the dome of pleasureFloated midway on the waves; where was heard the mingled measure and song of Mount Abora."
On Love,"Then said Almitra, Speak to us of Love.
     And he raised his head and looked upon the people, and there fell a stillness upon them. And with a great voice he said:
     When love beckons to you, follow him,
     Though his ways are hard and steep.
     And when his wings enfold you yield to him,
     Though the sword hidden among his pinions may wound you.
     And when he speaks to you believe in him,
     Though his voice may shatter your dreams as the north wind lays waste the garden.
     For even as love crowns you so shall he crucify you. Even as he is for your growth so is he for your pruning.
     Even as he ascends to your height and caresses your tenderest branches that quiver in the sun,
     So shall he descend to your roots and shake them in their clinging to the earth.
     Like sheaves of corn he gathers you unto himself
     He threshes you to make your naked.
     He sifts you to free you from your husks.
     He grinds you to whiteness.
     He kneads you until you are pliant;
     And then he assigns you to his sacred fire, that you may become sacred bread for God’s sacred feast.
     All these things shall love do unto you that you may know the secrets of your heart, and in that knowledge become a fragment of Life’s heart.
     But if in your heart you would seek only love’s peace and love’s pleasure,
     Then it is better for you that you cover your nakedness and pass out of love’s threshing-floor,
     Into the seasonless world where you shall laugh, but not all of your laughter, and weep, but not all of your tears.
     Love gives naught but itself and takes naught but from itself.
     Love possesses not nor would it be possessed;
     For love is sufficient unto love.
     When you love you should not say, “God is in my heart,” but rather, “I am in the heart of God.”
     And think not you can direct the course of love, for love, if it finds you worthy, directs your course.
     Love has no other desire but to fulfil itself.
     But if you love and must needs have desires, let these be your desires:
     To melt and be like a running brook that sings its melody to the night.
     To know the pain of too much tenderness.
     To be wounded by your own understanding of love;
     And to bleed willingly and joyfully.
     To wake at dawn with a winged heart and give thanks for another day of loving;
     To rest at the noon hour and meditate love’s ecstasy;
     To return home at eventide with gratitude;
     And then to sleep with a prayer for the beloved in your heart and a song of praise upon your lips.","Almitra spoke of the power of love and how it can change our lives. He said that love can make us laugh and weep, but not all of our tears."
I Have a Rendezvous with Death,"I have a rendezvous with Death
At some disputed barricade,
When Spring comes back with rustling shade
And apple-blossoms fill the air—
I have a rendezvous with Death
When Spring brings back blue days and fair.
It may be he shall take my hand
And lead me into his dark land
And close my eyes and quench my breath—
It may be I shall pass him still.
I have a rendezvous with Death
On some scarred slope of battered hill,
When Spring comes round again this year
And the first meadow-flowers appear.
God knows ’twere better to be deep
Pillowed in silk and scented down,
Where love throbs out in blissful sleep,
Pulse nigh to pulse, and breath to breath,
Where hushed awakenings are dear...
But I’ve a rendezvous with Death
At midnight in some flaming town,
When Spring trips north again this year,
And I to my pledged word am true,
I shall not fail that rendezvous.","I have a rendezvous with Death at some disputed barricade, when Spring comes back with rustling shade and apple-blossoms fill the air. I to my pledged word am true, I shall not fail that rendezvous."
On Joy and Sorrow,"Then a woman said, Speak to us of Joy and Sorrow.
And he answered:
Your joy is your sorrow unmasked.
And the selfsame well from which your laughter rises was oftentimes filled with your tears.
And how else can it be?
The deeper that sorrow carves into your being, the more joy you can contain.
Is not the cup that holds your wine the very cup that was burned in the potter’s oven?
And is not the lute that soothes your spirit, the very wood that was hollowed with knives?
When you are joyous, look deep into your heart and you shall find it is only that which has given you sorrow that is giving you joy.
When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.
Some of you say, “Joy is greater than sorrow,” and others say, “Nay, sorrow is the greater.”
But I say unto you, they are inseparable.
Together they come, and when one sits alone with you at your board, remember that the other is asleep upon your bed.
Verily you are suspended like scales between your sorrow and your joy.
Only when you are empty are you at standstill and balanced.
When the treasure-keeper lifts you to weigh his gold and his silver, needs must your joy or your sorrow rise or fall.","The deeper that sorrow carves into your being, the more joy you can contain. When you are empty are you at standstill and balanced. When the treasure-keeper lifts you to weigh his gold and his silver, needs must your joy or your sorrow rise or fall."
Instructions on Not Giving Up,"More than the fuchsia funnels breaking out
of the crabapple tree, more than the neighbor’s
almost obscene display of cherry limbs shoving
their cotton candy-colored blossoms to the slate
sky of Spring rains, it’s the greening of the trees
that really gets to me. When all the shock of white
and taffy, the world’s baubles and trinkets, leave
the pavement strewn with the confetti of aftermath,
the leaves come. Patient, plodding, a green skin
growing over whatever winter did to us, a return
to the strange idea of continuous living despite
the mess of us, the hurt, the empty. Fine then,
I’ll take it, the tree seems to say, a new slick leaf
unfurling like a fist to an open palm, I’ll take it all.","More than the fuchsia funnels breaking out of the crabapple tree, it’s the greening of the trees that really gets to me. Patient, plodding, a green skin growing over whatever winter did to us, a return to the strange idea of continuous living despite the mess of us."
Yours,"I am yours as the summer air at evening is
Possessed by the scent of linden blossoms,

As the snowcap gleams with light
Lent it by the brimming moon.

Without you I'd be an unleafed tree
Blasted in a bleakness with no Spring.

Your love is the weather of my being.
What is an island without the sea?",I am yours as the summer air at evening is is yours. I am possessed by the scent of linden blossoms. Without you I'd be an unleafed tree.
Under the Harvest Moon,"   Under the harvest moon, 
When the soft silver
Drips shimmering
Over the garden nights,
Death, the gray mocker, 
Comes and whispers to you
As a beautiful friend
Who remembers.

   Under the summer roses 
When the flagrant crimson
Lurks in the dusk
Of the wild red leaves,
Love, with little hands,
Comes and touches you
With a thousand memories, 
And asks you
Beautiful, unanswerable questions.","The book is about a young man's love for his mother, his father, his brother and his grandmother. The book is called ""The Story of My Mother"" and is published by Penguin Books."
The Stolen Child,"Where dips the rocky highland
Of Sleuth Wood in the lake,
There lies a leafy island
Where flapping herons wake
The drowsy water rats;
There we've hid our faery vats,
Full of berrys
And of reddest stolen cherries.
Come away, O human child!
To the waters and the wild
With a faery, hand in hand,
For the world's more full of weeping than you can understand.
Where the wave of moonlight glosses
The dim gray sands with light,
Far off by furthest Rosses
We foot it all the night,
Weaving olden dances
Mingling hands and mingling glances
Till the moon has taken flight;
To and fro we leap
And chase the frothy bubbles,
While the world is full of troubles
And anxious in its sleep.
Come away, O human child!
To the waters and the wild
With a faery, hand in hand,
For the world's more full of weeping than you can understand.
Where the wandering water gushes
From the hills above Glen-Car,
In pools among the rushes
That scarce could bathe a star,
We seek for slumbering trout
And whispering in their ears
Give them unquiet dreams;
Leaning softly out
From ferns that drop their tears
Over the young streams.
Come away, O human child!
To the waters and the wild
With a faery, hand in hand,
For the world's more full of weeping than you can understand.
Away with us he's going,
The solemn-eyed:
He'll hear no more the lowing
Of the calves on the warm hillside
Or the kettle on the hob
Sing peace into his breast,
Or see the brown mice bob
Round and round the oatmeal chest.
For he comes, the human child,
To the waters and the wild
With a faery, hand in hand,
For the world's more full of weeping than he can understand.","We foot it all the night, weaving olden dances, weeding olden berry vats. We seek for slumbering trout, whispering in their ears. We chase the frothy bubbles, chasing the bubbles, while the world is full of troubles. The world's more full of weeping than you can understand."
Ars Poetica,"A poem should be palpable and mute
As a globed fruit,
Dumb
As old medallions to the thumb,
Silent as the sleeve-worn stone
Of casement ledges where the moss has grown—
A poem should be wordless
As the flight of birds.
                 *
A poem should be motionless in time
As the moon climbs,
Leaving, as the moon releases
Twig by twig the night-entangled trees,
Leaving, as the moon behind the winter leaves,
Memory by memory the mind—
A poem should be motionless in time
As the moon climbs.
                  *
A poem should be equal to:
Not true.
For all the history of grief
An empty doorway and a maple leaf.
For love
The leaning grasses and two lights above the sea—
A poem should not mean
But be.","A poem should be motionless in time as the moon climbs. A poem should not mean to be true, but to be palpable and mute. An empty doorway and a maple leaf should be equal to love."
Novel,"I.

No one's serious at seventeen.
—On beautiful nights when beer and lemonade
And loud, blinding cafés are the last thing you need
—You stroll beneath green lindens on the promenade.

Lindens smell fine on fine June nights!
Sometimes the air is so sweet that you close your eyes;
The wind brings sounds—the town is near—
And carries scents of vineyards and beer. . .

II.

—Over there, framed by a branch
You can see a little patch of dark blue
Stung by a sinister star that fades
With faint quiverings, so small and white. . .

June nights! Seventeen!—Drink it in.
Sap is champagne, it goes to your head. . .
The mind wanders, you feel a kiss
On your lips, quivering like a living thing. . .

III.

The wild heart Crusoes through a thousand novels
—And when a young girl walks alluringly
Through a streetlamp's pale light, beneath the ominous shadow
Of her father's starched collar. . .

Because as she passes by, boot heels tapping,
She turns on a dime, eyes wide, 
Finding you too sweet to resist. . .
—And cavatinas die on your lips.

IV.

You're in love. Off the market till August.
You're in love.—Your sonnets make Her laugh.
Your friends are gone, you're bad news.
—Then, one night, your beloved, writes. . .!

That night. . .you return to the blinding cafés;
You order beer or lemonade. . .
—No one's serious at seventeen 
When lindens line the promenade.
29 September 1870","On beautiful nights when beer and lemonade are the last thing you need, you stroll beneath green lindens on the promenade. The air is so sweet that you close your eyes; the town is near, and the wind carries scents of vineyards and beer."
Not Waving but Drowning,"Nobody heard him, the dead man,
But still he lay moaning:
I was much further out than you thought
And not waving but drowning.
Poor chap, he always loved larking
And now he’s dead
It must have been too cold for him his heart gave way,
They said.
Oh, no no no, it was too cold always
(Still the dead one lay moaning)
I was much too far out all my life
And not waving but drowning.","Nobody heard him, the dead man, but still he lay moaning. He said: ""I was much further out than you thought and not waving but drowning"""
"To John Keats, Poet. At Spring Time*","(For Carl Van Vechten)
I cannot hold my peace, John Keats;
There never was a spring like this;
It is an echo, that repeats
My last year's song and next year's bliss.
I know, in spite of all men say
Of Beauty, you have felt her most.
Yea, even in your grave her way
Is laid. Poor, troubled, lyric ghost,
Spring never was so fair and dear
As Beauty makes her seem this year.
I cannot hold my peace, John Keats,
I am as helpless in the toil
Of Spring as any lamb that bleats
To feel the solid earth recoil
Beneath his puny legs. Spring beats
Her tocsin call to those who love her,
And lo! the dogwood petals cover
Her breast with drifts of snow, and sleek
White gulls fly screaming to her, and hover
About her shoulders, and kiss her cheek,
While white and purple lilacs muster
A strength that bears them to a cluster
Of color and odor; for her sake
All things that slept are now awake.
And you and I, shall we lie still,
John Keats, while Beauty summons us?
Somehow I feel your sensitive will
Is pulsing up some tremulous
Sap road of a maple tree, whose leaves
Grow music as they grow, since your
Wild voice is in them, a harp that grieves
For life that opens death's dark door.
Though dust, your fingers still can push
The Vision Splendid to a birth,
Though now they work as grass in the hush
Of the night on the broad sweet page of the earth.
""John Keats is dead,"" they say, but I
Who hear your full insistent cry
In bud and blossom, leaf and tree,
Know John Keats still writes poetry.
And while my head is earthward bowed
To read new life sprung from your shroud,
Folks seeing me must think it strange
That merely spring should so derange
My mind. They do not know that you,
John Keats, keep revel with me, too.
  *Spring, 1924","John Keats' poem, ""Spring,"" was published in 1924. The poem was written in the style of Carl Van Vechten. ""Spring never was so fair and dear as Beauty makes her seem this year"""
Final Soliloquy of the Interior Paramour,"Light the first light of evening, as in a room
In which we rest and, for small reason, think
The world imagined is the ultimate good.

This is, therefore, the intensest rendezvous. 
It is in that thought that we collect ourselves,
Out of all the indifferences, into one thing:

Within a single thing, a single shawl
Wrapped tightly round us, since we are poor, a warmth, 
A light, a power, the miraculous influence.

Here, now, we forget each other and ourselves.
We feel the obscurity of an order, a whole, 
A knowledge, that which arranged the rendezvous.

Within its vital boundary, in the mind.
We say God and the imagination are one... 
How high that highest candle lights the dark.

Out of this same light, out of the central mind, 
We make a dwelling in the evening air, 
In which being there together is enough.","The world imagined is the ultimate good. Light the first light of evening, as in a room in which we rest and, for small reason, think. We feel the obscurity of an order, a whole, a knowledge."
"The Merchant of Venice, Act IV, Scene I [The quality of mercy is not strained]","The quality of mercy is not strained;
It droppeth as the gentle rain from heaven
Upon the place beneath. It is twice blest;
It blesseth him that gives and him that takes:
'T is mightiest in the mightiest; it becomes
The throned monarch better than his crown:
His sceptre shows the force of temporal power,
The attribute to awe and majesty,
Wherein doth sit the dread and fear of kings;
But mercy is above this sceptred sway;
It is enthronèd in the hearts of kings,
It is an attribute to God himself;
And earthly power doth then show likest God's
When mercy seasons justice. Therefore, Jew,
Though justice be thy plea, consider this,
That, in the course of justice, none of us
Should see salvation: we do pray for mercy;
And that same prayer doth teach us all to render
The deeds of mercy. I have spoke thus much
To mitigate the justice of thy plea;
Which if thou follow, this strict court of Venice
Must needs give sentence 'gainst the merchant there.",Mercy is not strained. It droppeth as the gentle rain from heaven. It is twice blest. It blesseth him that gives and him that takes. It becomes mightiest in the mightiest; it becomes better than his crown.
Loveliest of Trees,"Loveliest of trees, the cherry now
Is hung with bloom along the bough,
And stands about the woodland ride
Wearing white for Eastertide.
Now, of my threescore years and ten,
Twenty will not come again,
And take from seventy springs a score,
It only leaves me fifty more.
And since to look at things in bloom
Fifty springs are little room,
About the woodlands I will go
To see the cherry hung with snow.","The cherry is hung with bloom along the bough,                Wearing white for Eastertide. Of my threescore years and ten,                Twenty will not come again,                And take from seventy springs a score,                It only leaves me fifty more."
"Lay of the Last Minstrel, Canto VI, [My Native Land]","   Breathes there the man, with soul so dead,
Who never to himself hath said,
   This is my own, my native land!
Whose heart hath ne'er within him burn'd,
As home his footsteps he hath turn'd
   From wandering on a foreign strand!
If such there breathe, go, mark him well;
For him no Minstrel raptures swell;
High though his titles, proud his name,
Boundless his wealth as wish can claim;—
Despite those titles, power, and pelf,
The wretch, concentred all in self,
Living, shall forfeit fair renown,
And, doubly dying, shall go down
To the vile dust, from whence he sprung,
Unwept, unhonour'd, and unsung.","High though his titles, proud his name, boundless his wealth as wish can claim. Despite those titles, power, and pelf, the wretch, concentred all in self, shall forfeit fair renown, and go down to the vile dust."
The Land of Counterpane,"When I was sick and lay a-bed,
I had two pillows at my head,
And all my toys beside me lay
To keep me happy all the day.
And sometimes for an hour or so
I watched my leaden soldiers go,
With different uniforms and drills,
Among the bed-clothes, through the hills;
And sometimes sent my ships in fleets
All up and down among the sheets;
Or brought my trees and houses out,
And planted cities all about.
I was the giant great and still
That sits upon the pillow-hill,
And sees before him, dale and plain,
The pleasant land of counterpane.","When I was sick and lay a-bed, I had two pillows at my head,                And all my toys beside me lay.                I watched my leaden soldiers go,                With different uniforms and drills,                Among the bed-clothes, through the hills."
Aedh Wishes for the Cloths of Heaven,"Had I the heavens' embroidered cloths,
Enwrought with golden and silver light,
The blue and the dim and the dark cloths
Of night and light and the half light,
I would spread the cloths under your feet:
But I, being poor, have only my dreams;
I have spread my dreams under your feet;
Tread softly because you tread on my dreams.","""I, being poor, have only my dreams,"" he writes. ""Tread softly because you tread on my dreams"" ""I would spread the cloths under your feet,"" he adds."
Love's Philosophy,"The fountains mingle with the river
And the rivers with the ocean,
The winds of heaven mix for ever
With a sweet emotion;
Nothing in the world is single,
All things by a law divine
In one another's being mingle—
Why not I with thine?
See the mountains kiss high heaven,
And the waves clasp one another;
No sister-flower would be forgiven
If it disdain'd its brother;
And the sunlight clasps the earth,
And the moonbeams kiss the sea—
What is all this sweet work worth
If thou kiss not me?",The fountains mingle with the river and the rivers with the ocean. The winds of heaven mix for ever with a sweet emotion. Nothing in the world is single.
Before You Came,"Before you came,
things were as they should be:
the sky was the dead-end of sight,
the road was just a road, wine merely wine.

Now everything is like my heart,
a color at the edge of blood:
the grey of your absence, the color of poison, of thorns,
the gold when we meet, the season ablaze,
the yellow of autumn, the red of flowers, of flames,
and the black when you cover the earth
with the coal of dead fires.

And the sky, the road, the glass of wine?
The sky is a shirt wet with tears,
the road a vein about to break,
and the glass of wine a mirror in which
the sky, the road, the world keep changing.

Don't leave now that you're here—
Stay. So the world may become like itself again:
so the sky may be the sky,
the road a road,
and the glass of wine not a mirror, just a glass of wine.","Before you came, the sky was the dead-end of sight, the road was just a road, wine merely wine. Now everything is like my heart, a color at the edge of blood: grey of your absence, the color of poison, of thorns, gold when we meet."
A Poem about Intelligence for My Brothers and Sisters (audio only), Click the icon above to listen to this audio poem.,Listen to an audio version of this poem. Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport.
Ozymandias,"I met a traveller from an antique land
Who said: “Two vast and trunkless legs of stone
Stand in the desert . . . Near them, on the sand,
Half sunk, a shattered visage lies, whose frown,
And wrinkled lip, and sneer of cold command,
Tell that its sculptor well those passions read
Which yet survive, stamped on these lifeless things,
The hand that mocked them, and the heart that fed:
And on the pedestal these words appear:
‘My name is Ozymandias, king of kings:
Look on my works, ye Mighty, and despair!’
Nothing beside remains. Round the decay
Of that colossal wreck, boundless and bare
The lone and level sands stretch far away.”",The work was created by the sculptor Ozymandias. The work was inspired by a traveller from an antique land. It is on display at the Museum of Modern Art in New York.
Little Orphant Annie,"Little Orphant Annie’s come to our house to stay,
An’ wash the cups an’ saucers up, an’ brush the crumbs away,
An’ shoo the chickens off the porch, an’ dust the hearth, an’ sweep,
An’ make the fire, an’ bake the bread, an’ earn her board-an’-keep;
An’ all us other childern, when the supper things is done,
We set around the kitchen fire an’ has the mostest fun
A-list’nin’ to the witch-tales ‘at Annie tells about,
An’ the Gobble-uns ‘at gits you
             Ef you
                Don’t
                   Watch
                      Out!
Onc’t they was a little boy wouldn’t say his prayers,—
So when he went to bed at night, away up stairs,
His Mammy heerd him holler, an’ his Daddy heerd him bawl,
An’ when they turn’t the kivvers down, he wasn’t there at all!
An’ they seeked him in the rafter-room, an’ cubby-hole, an’ press,
An’ seeked him up the chimbly-flue, an’ ever’wheres, I guess;
But all they ever found was thist his pants an' roundabout--
An’ the Gobble-uns’ll git you
             Ef you
                Don’t
                   Watch
                      Out!
An’ one time a little girl ‘ud allus laugh an’ grin,
An’ make fun of ever’one, an’ all her blood an’ kin;
An’ onc’t, when they was “company,” an’ ole folks was there,
She mocked ‘em an’ shocked ‘em, an’ said she didn’t care!
An’ thist as she kicked her heels, an’ turn’t to run an’ hide,
They was two great big Black Things a-standin’ by her side,
An’ they snatched her through the ceilin’ ‘fore she knowed what she’s about!
An’ the Gobble-uns’ll git you
             Ef you
                Don’t
                   Watch
                      Out!
An’ little Orphant Annie says when the blaze is blue,
An’ the lamp-wick sputters, an’ the wind goes woo-oo!
An’ you hear the crickets quit, an’ the moon is gray,
An’ the lightnin’-bugs in dew is all squenched away,--
You better mind yer parents, an’ yer teachers fond an’ dear,
An’ churish them ‘at loves you, an’ dry the orphant’s tear,
An’ he’p the pore an’ needy ones ‘at clusters all about,
Er the Gobble-uns’ll git you
             Ef you
                Don’t
                   Watch
                      Out!","Little Orphant Annie’s come to our house to stay, and we set around the kitchen fire an’ has the mostest fun listening to the witch-tales ‘at Annie tells about. When a little boy wouldn’t say his prayers, the Gobble-uns would go looking for him, but all they ever found was thist his pants an' roundabout."
A Blessing,"Just off the highway to Rochester, Minnesota,
Twilight bounds softly forth on the grass.
And the eyes of those two Indian ponies
Darken with kindness.
They have come gladly out of the willows
To welcome my friend and me.
We step over the barbed wire into the pasture
Where they have been grazing all day, alone.
They ripple tensely, they can hardly contain their happiness
That we have come.
They bow shyly as wet swans. They love each other.
There is no loneliness like theirs.
At home once more,
They begin munching the young tufts of spring in the darkness.
I would like to hold the slenderer one in my arms,
For she has walked over to me
And nuzzled my left hand.
She is black and white,
Her mane falls wild on her forehead,
And the light breeze moves me to caress her long ear
That is delicate as the skin over a girl’s wrist.
Suddenly I realize
That if I stepped out of my body I would break
Into blossom.","The author met two Indian ponies in Rochester, Minnesota. The pair have been friends since childhood. The author describes the moment he first met the ponies."
Life is Fine,"I went down to the river,
I set down on the bank.
I tried to think but couldn't,
So I jumped in and sank.
I came up once and hollered!
I came up twice and cried!
If that water hadn't a-been so cold
I might've sunk and died.
     But it was      Cold in that water!      It was cold!
I took the elevator
Sixteen floors above the ground.
I thought about my baby
And thought I would jump down.
I stood there and I hollered!
I stood there and I cried!
If it hadn't a-been so high
I might've jumped and died.
     But it was      High up there!      It was high!
So since I'm still here livin',
I guess I will live on.
I could've died for love—
But for livin' I was born
Though you may hear me holler,
And you may see me cry—
I'll be dogged, sweet baby,
If you gonna see me die.
     Life is fine!      Fine as wine!      Life is fine!","I went down to the river, set down on the bank, and jumped in. I tried to think but couldn't, so I jumped in and sank. If that water hadn't a-been so cold, I might've sunk and died."
"As You Like It, Act II, Scene VII [All the world's a stage]","Jaques to Duke Senior
                   
                          All the world's a stage,
And all the men and women merely players;
They have their exits and their entrances,
And one man in his time plays many parts,
His acts being seven ages. At first, the infant,
Mewling and puking in the nurse's arms.
Then the whining schoolboy, with his satchel
And shining morning face, creeping like snail
Unwillingly to school. And then the lover,
Sighing like furnace, with a woeful ballad
Made to his mistress' eyebrow. Then a soldier,
Full of strange oaths and bearded like the pard,
Jealous in honor, sudden and quick in quarrel,
Seeking the bubble reputation
Even in the cannon's mouth. And then the justice,
In fair round belly with good capon lined,
With eyes severe and beard of formal cut,
Full of wise saws and modern instances;
And so he plays his part. The sixth age shifts
Into the lean and slippered pantaloon,
With spectacles on nose and pouch on side;
His youthful hose, well saved, a world too wide
For his shrunk shank, and his big manly voice,
Turning again toward childish treble, pipes
And whistles in his sound. Last scene of all,
That ends this strange eventful history,
Is second childishness and mere oblivion,
Sans teeth, sans eyes, sans taste, sans everything.
 ","Jaques to Duke Senior is a play by French playwright Frida Ghitis. The play is about a man who plays seven different roles in his life. Ghitis: ""One man in his time plays many parts, his acts being seven ages"""
Shall I compare thee to a summer’s day? (Sonnet 18),"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate.
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date.
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimmed;
And every fair from fair sometime declines,
By chance, or nature’s changing course, untrimmed;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st,
Nor shall death brag thou wand'rest in his shade,
When in eternal lines to Time thou grow'st.
    So long as men can breathe, or eyes can see,
    So long lives this, and this gives life to thee.","A summer's day is more lovely and more temperate than a winter's day. So long as men can breathe, or eyes can see, so long lives this, and this gives life to thee."
To My Dear and Loving Husband,"If ever two were one, then surely we.
If ever man were loved by wife, then thee;
If ever wife was happy in a man,
Compare with me ye women if you can.
I prize thy love more than whole mines of gold,
Or all the riches that the East doth hold.
My love is such that rivers cannot quench,
Nor ought but love from thee give recompense.
Thy love is such I can no way repay;
The heavens reward thee manifold, I pray.
Then while we live, in love let’s so persever,
That when we live no more we may live ever.","I prize thy love more than whole mines of gold,                Or all the riches that the East doth hold.                My love is such that rivers cannot quench,                Nor ought but love from thee give recompense.                If ever man were loved by wife, then thee.                Compare with me ye women if you can."
A Dream Within a Dream,"Take this kiss upon the brow!
And, in parting from you now,
Thus much let me avow:
You are not wrong who deem
That my days have been a dream;
Yet if hope has flown away
In a night, or in a day,
In a vision, or in none,
Is it therefore the less gone?
All that we see or seem
Is but a dream within a dream.
I stand amid the roar
Of a surf-tormented shore,
And I hold within my hand
Grains of the golden sand--
How few! yet how they creep
Through my fingers to the deep,
While I weep--while I weep!
O God! can I not grasp
Them with a tighter clasp?
O God! can I not save
One from the pitiless wave?
Is all that we see or seem
But a dream within a dream?","""All that we see or seemIs but a dream within a dream"" ""I stand amid the roar of a surf-tormented shore,And I hold within my hand the golden sand"" ""O God! can I not save one from the pitiless wave?"""
The More Loving One,"Looking up at the stars, I know quite well
That, for all they care, I can go to hell,
But on earth indifference is the least
We have to dread from man or beast.
How should we like it were stars to burn
With a passion for us we could not return?
If equal affection cannot be,
Let the more loving one be me.
Admirer as I think I am
Of stars that do not give a damn,
I cannot, now I see them, say
I missed one terribly all day.
Were all stars to disappear or die,
I should learn to look at an empty sky
And feel its total dark sublime,
Though this might take me a little time.","""I know quite well that, for all they care, I can go to hell,"" writes the poet. "" indifference is the least we have to dread from man or beast,"" he adds."
Ulysses,"It little profits that an idle king,
By this still hearth, among these barren crags,
Matched with an aged wife, I mete and dole
Unequal laws unto a savage race,
That hoard, and sleep, and feed, and know not me.
I cannot rest from travel; I will drink
Life to the lees. All times I have enjoyed
Greatly, have suffered greatly, both with those
That loved me, and alone; on shore, and when
Through scudding drifts the rainy Hyades
Vext the dim sea. I am become a name;
For always roaming with a hungry heart
Much have I seen and known—cities of men
And manners, climates, councils, governments,
Myself not least, but honored of them all,—
And drunk delight of battle with my peers,
Far on the ringing plains of windy Troy.
I am a part of all that I have met;
Yet all experience is an arch wherethrough
Gleams that untraveled world whose margin fades
For ever and for ever when I move.
How dull it is to pause, to make an end,
To rust unburnished, not to shine in use!
As though to breathe were life! Life piled on life
Were all too little, and of one to me
Little remains; but every hour is saved
From that eternal silence, something more,
A bringer of new things; and vile it were
For some three suns to store and hoard myself,
And this gray spirit yearning in desire
To follow knowledge like a sinking star,
Beyond the utmost bound of human thought.
   This is my son, mine own Telemachus,
To whom I leave the scepter and the isle,
Well-loved of me, discerning to fulfill
This labor, by slow prudence to make mild
A rugged people, and through soft degrees
Subdue them to the useful and the good.
Most blameless is he, centered in the sphere
Of common duties, decent not to fail
In offices of tenderness, and pay
Meet adoration to my household gods,
When I am gone. He works his work, I mine.
   There lies the port; the vessel puffs her sail;
There gloom the dark, broad seas. My mariners,
Souls that have toiled, and wrought, and thought with me,
That ever with a frolic welcome took
The thunder and the sunshine, and opposed
Free hearts, free foreheads—you and I are old;
Old age hath yet his honor and his toil.
Death closes all; but something ere the end,
Some work of noble note, may yet be done,
Not unbecoming men that strove with gods.
The lights begin to twinkle from the rocks;
The long day wanes; the slow moon climbs; the deep
Moans round with many voices. Come, my friends,
'Tis not too late to seek a newer world.
Push off, and sitting well in order smite
The sounding furrows; for my purpose holds
To sail beyond the sunset, and the baths
Of all the western stars, until I die.
It may be that the gulfs will wash us down;
It may be we shall touch the Happy Isles,
And see the great Achilles, whom we knew.
Though much is taken, much abides; and though
We are not now that strength which in old days
Moved earth and heaven, that which we are, we are,
One equal temper of heroic hearts,
Made weak by time and fate, but strong in will
To strive, to seek, to find, and not to yield.","""I am become a name; always roaming with a hungry heart,"" he writes. ""All times I have enjoyed, have suffered greatly, both with those that loved me, and alone,"" he adds. ""I cannot rest from travel; I will drink life to the lees,"" he says."
